Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
;              	 489	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 490	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 490	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 490	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 490	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 490	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 490	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 491	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 491	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 491	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 491	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 491	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 492	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 492	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 492	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 492	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
c3bd           	 492	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 492	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 493	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 493	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 493	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 493	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
1              	 493	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 493	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 494	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 495	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 495	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 495	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 495	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 495	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 496	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
_sumNSb        	 498	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 498	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 498	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 498	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 498	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 498	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 498	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 498	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 499	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 499	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 499	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 499	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 499	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 output_par            	 no  	 parameter_list        	 
d3             	 499	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 499	 TK_SQR                	 ----      	 output_par            	 yes 	 TK_SQR                	 
;              	 499	 TK_SEM                	 ----      	 function              	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 function              	 no  	 stmts                 	 
type           	 500	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 500	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 500	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 500	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 500	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 501	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 501	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
1              	 501	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 501	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
d3             	 502	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 502	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
0.00           	 502	 TK_RNUM               	 0.00000   	 var                   	 yes 	 TK_RNUM               	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 502	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 503	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 503	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 503	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 503	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 503	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 503	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 504	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 504	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 504	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 504	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 504	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 505	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 505	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 505	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 505	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
c3bd           	 505	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 505	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 506	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 506	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 506	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 506	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
1              	 506	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 506	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 507	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 508	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 508	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 508	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 508	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 508	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 509	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
_sumNTa        	 511	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 511	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 511	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 511	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 511	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 511	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 511	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 511	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 512	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 512	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 512	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 512	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 512	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
